,date,currency_source,currency,value
151,2023-01-01,USD,UYU,39.967963
152,2023-01-01,USD,UZS,11254.999749
153,2023-01-01,USD,VES,17.095799
154,2023-01-01,USD,VND,23635.0
155,2023-01-01,USD,VUV,117.236648
156,2023-01-01,USD,WST,2.696122
157,2023-01-01,USD,XAF,614.462357
158,2023-01-01,USD,XAG,0.041736
159,2023-01-01,USD,XAU,0.000548
160,2023-01-01,USD,XCD,2.70255
161,2023-01-01,USD,XDR,0.751548
162,2023-01-01,USD,XOF,615.508119
163,2023-01-01,USD,XPF,111.950194
164,2023-01-01,USD,YER,250.302768
165,2023-01-01,USD,ZAR,16.989425
166,2023-01-01,USD,ZMK,9001.196938
167,2023-01-01,USD,ZMW,18.11118
168,2023-01-01,USD,ZWL,321.999592
